lat,lon,pin
11.6667,92.75,744101
11.6667,92.75,744101
11.6667,92.75,744101
11.6833,92.7167,744102
11.7,92.6667,744102
11.7167,92.6167,744102
11.7,92.6667,744102
11.7,92.6667,744102
11.6651,92.7121,744103
11.6651,92.7121,744103
11.6651,92.7121,744103
11.6651,92.7121,744103
11.6651,92.7121,744103
11.6651,92.7121,744103
11.6651,92.7121,744103
11.6651,92.7121,744103
11.6651,92.7121,744103
11.6651,92.7121,744104
11.6651,92.7121,744104
11.6651,92.7121,744104
11.6,92.7333,744105
11.6,92.7333,744105
11.6,92.7333,744105
11.6,92.7333,744105
11.6,92.7333,744105
11.6,92.7333,744105
11.6,92.7333,744105
11.6588,92.7438,744106
11.6651,92.7121,744107
11.6651,92.7121,744107
11.6651,92.7121,744112
12.7167,92.9,744201
12.7167,92.9,744201
12.7167,92.9,744201
12.7167,92.9,744201
18.9492,84.2801,744202
18.2035,86.3675,744202
17.8203,79.9435,744202
22.7778,88.2464,744202
18.2035,86.3675,744202
13.2667,93,744202
18.2035,86.3675,744202
18.2035,86.3675,744202
18.2035,86.3675,744202
18.2035,86.3675,744202
18.2035,86.3675,744202
18.2035,86.3675,744202
16.7362,87.2991,744203
20.1981,83.5205,744204
20.1981,83.5205,744204
20.1981,83.5205,744204
20.1981,83.5205,744204
20.1981,83.5205,744204
15.2159,86.8982,744205
17.9319,80.8964,744205
15.2159,86.8982,744205
12.5,92.9,744205
15.2159,86.8982,744205
15.2159,86.8982,744205
15.2159,86.8982,744205
11.7167,92.6833,744206
11.7167,92.6833,744206
11.7167,92.6833,744206
11.7167,92.6833,744206
11.7167,92.6833,744206
11.7167,92.6833,744206
11.7167,92.6833,744206
11.7167,92.6833,744206
11.7167,92.6833,744206
11.7167,92.6833,744206
19.4846,84.6204,744207
19.4846,84.6204,744207
19.4846,84.6204,744207
19.4846,84.6204,744207
16.7362,87.2991,744209
16.7362,87.2991,744209
16.7362,87.2991,744210
16.7362,87.2991,744210
16.7362,87.2991,744210
16.7362,87.2991,744211
16.7362,87.2991,744211
16.7362,87.2991,744211
16.7362,87.2991,744211
9.2,92.7167,744301
9.1167,92.8,744301
9.2333,92.7833,744301
9.1833,92.7667,744301
9.1833,92.7667,744301
9.1833,92.7667,744302
9.1833,92.7667,744302
9.1833,92.7667,744302
9.1833,92.7667,744302
9.1833,92.7667,744302
9.1833,92.7667,744302
9.1833,92.7667,744303
9.1833,92.7667,744303
9.1833,92.7667,744303
9.1833,92.7667,744303
9.1833,92.7667,744303
9.1833,92.7667,744304
9.1833,92.7667,744304
9.1833,92.7667,744304
16.9958,80.1538,507130
16.9958,80.1538,507130
16.9958,80.1538,507130
14.6794,77.5988,515001
14.6794,77.5988,515001
14.6794,77.5988,515001
14.6794,77.5988,515001
14.6794,77.5988,515001
14.6794,77.5988,515001
14.6794,77.5988,515001
14.6794,77.5988,515001
16.7833,81.9,515002
16.7833,81.9,515002
16.7833,81.9,515002
16.7833,81.9,515002
16.7833,81.9,515002
16.7833,81.9,515002
16.7833,81.9,515002
15.7314,79.7494,515003
15.7314,79.7494,515004
15.7314,79.7494,515004
15.7314,79.7494,515004
15.7314,79.7494,515004
15.7314,79.7494,515004
15.7314,79.7494,515004
15.7314,79.7494,515004
15.7314,79.7494,515004
15.7314,79.7494,515004
15.7314,79.7494,515004
15.7314,79.7494,515004
15.7314,79.7494,515005
15.7314,79.7494,515005
15.7314,79.7494,515005
14.3069,77.6576,515101
14.3069,77.6576,515101
14.3069,77.6576,515101
14.3069,77.6576,515101
14.3069,77.6576,515101
14.3069,77.6576,515101
14.3069,77.6576,515101
14.3069,77.6576,515101
14.3069,77.6576,515101
14.0834,77.5959,515110
14.7759,78.1949,515110
14.4297,77.8954,515110
14.4297,77.8954,515110
14.4297,77.8954,515110
14.4297,77.8954,515110
14.4297,77.8954,515110
14.4297,77.8954,515110
14.4297,77.8954,515110
14.4297,77.8954,515110
14.4297,77.8954,515110
14.4297,77.8954,515110
14.4297,77.8954,515110
13.2756,78.4595,515122
13.2756,78.4595,515122
13.2756,78.4595,515122
13.2756,78.4595,515122
13.2756,78.4595,515122
13.2756,78.4595,515122
13.2756,78.4595,515122
13.2756,78.4595,515122
13.2756,78.4595,515122
13.2756,78.4595,515122
13.2756,78.4595,515122
14.0937,77.428,515123
14.0937,77.428,515123
14.0937,77.428,515123
14.0937,77.428,515123
14.0937,77.428,515123
14.0937,77.428,515123
14.0937,77.428,515123
14.0937,77.428,515123
14.0937,77.428,515123
14.0937,77.428,515123
14.0937,77.428,515123
23.5339,73.6426,515124
17.8713,76.6333,515124
15.9928,80.3796,515124
17.8713,76.6333,515124
14.0871,75.8778,515124
17.8713,76.6333,515124
17.8713,76.6333,515124
17.8713,76.6333,515124
17.8713,76.6333,515124
17.8713,76.6333,515124
17.8713,76.6333,515124
17.8713,76.6333,515124
14.2696,79.1008,515133
14.2696,79.1008,515133
14.2696,79.1008,515133
14.2696,79.1008,515133
14.2696,79.1008,515133
14.2696,79.1008,515133
14.2696,79.1008,515133
14.2696,79.1008,515133
14.2696,79.1008,515133
14.2696,79.1008,515133
14.1652,77.8117,515134
14.1652,77.8117,515134
14.1652,77.8117,515134
14.1652,77.8117,515134
14.1652,77.8117,515134
14.1652,77.8117,515134
14.1652,77.8117,515134
14.1652,77.8117,515134
14.1995,77.8012,515144
14.1995,77.8012,515144
14.1995,77.8012,515144
14.1995,77.8012,515144
14.1995,77.8012,515144
14.1995,77.8012,515144
14.1995,77.8012,515144
14.1995,77.8012,515144
14.1995,77.8012,515144
14.1995,77.8012,515144
14.1995,77.8012,515144
14.2698,77.9726,515154
16.1602,79.5903,515154
17.8307,82.8582,515154
16.1602,79.5903,515154
16.38,77.94,515154
16.1602,79.5903,515154
16.1602,79.5903,515154
16.1602,79.5903,515154
14.1894,79.783,515159
14.1894,79.783,515159
14.1894,79.783,515159
14.1894,79.783,515159
14.1894,79.783,515159
14.1894,79.783,515159
14.1894,79.783,515159
14.1894,79.783,515159
14.1894,79.783,515159
14.1902,77.6339,515164
14.1902,77.6339,515164
14.1902,77.6339,515164
14.1902,77.6339,515164
14.1902,77.6339,515164
14.1902,77.6339,515164
12.9596,77.6453,515201
12.9596,77.6453,515201
12.9596,77.6453,515201
12.9596,77.6453,515201
12.9596,77.6453,515201
12.9596,77.6453,515201
12.9596,77.6453,515201
12.9596,77.6453,515202
13.8968,76.8426,515211
13.8968,76.8426,515211
13.8968,76.8426,515211
13.8968,76.8426,515211
13.8968,76.8426,515211
13.8968,76.8426,515211
13.8968,76.8426,515211
17.2373,78.3992,515212
17.2373,78.3992,515212
17.2373,78.3992,515212
17.2373,78.3992,515212
17.2373,78.3992,515212
17.2373,78.3992,515212
17.2373,78.3992,515212
17.2373,78.3992,515212
17.2373,78.3992,515212
17.2373,78.3992,515212
17.4679,78.6914,515231
15.7257,78.2322,515231
13.9835,77.7729,515231
15.7257,78.2322,515231
15.7257,78.2322,515231
15.7257,78.2322,515231
15.7257,78.2322,515231
15.7257,78.2322,515231
15.7257,78.2322,515231
15.7257,78.2322,515231
15.7257,78.2322,515231
15.7257,78.2322,515231
15.7257,78.2322,515231
18.577,80.9077,515241
18.577,80.9077,515241
18.577,80.9077,515241
18.577,80.9077,515241
18.577,80.9077,515241
18.577,80.9077,515241
18.577,80.9077,515241
18.577,80.9077,515241
18.577,80.9077,515241
18.577,80.9077,515241
18.577,80.9077,515241
18.577,80.9077,515241
14.2333,79.7333,515261
14.063,78.5965,515261
13.8926,77.4597,515261
14.063,78.5965,515261
14.063,78.5965,515261
14.063,78.5965,515261
14.063,78.5965,515261
14.063,78.5965,515261
12.961,77.55,515271
12.961,77.55,515271
12.961,77.55,515271
12.961,77.55,515271
12.961,77.55,515271
12.961,77.55,515271
12.961,77.55,515271
12.961,77.55,515271
12.961,77.55,515271
12.961,77.55,515271
12.961,77.55,515271
12.961,77.55,515271
15.9805,79.9177,515281
17.8307,82.8582,515281
15.9805,79.9177,515281
14.1303,76.9772,515281
15.9805,79.9177,515281
15.9805,79.9177,515281
15.9805,79.9177,515281
15.9805,79.9177,515281
12.9519,80.2398,515286
12.9519,80.2398,515286
12.9519,80.2398,515286
12.9519,80.2398,515286
12.9519,80.2398,515286
12.9519,80.2398,515286
12.9519,80.2398,515286
13.888,77.2216,515291
13.888,77.2216,515291
13.888,77.2216,515291
13.888,77.2216,515291
13.888,77.2216,515291
13.888,77.2216,515291
13.888,77.2216,515291
13.888,77.2216,515291
13.888,77.2216,515291
13.9412,77.2721,515301
13.9412,77.2721,515301
13.9412,77.2721,515301
13.9412,77.2721,515301
13.9412,77.2721,515301
13.9412,77.2721,515301
13.9412,77.2721,515301
13.9412,77.2721,515301
13.9412,77.2721,515301
13.9412,77.2721,515301
10.5086,77.4835,515303
10.5086,77.4835,515303
10.5086,77.4835,515303
10.5086,77.4835,515303
10.5086,77.4835,515303
10.5086,77.4835,515303
10.5086,77.4835,515303
10.5086,77.4835,515303
12.2249,77.3778,515305
12.2249,77.3778,515305
12.2249,77.3778,515305
12.2249,77.3778,515305
12.2249,77.3778,515305
12.2249,77.3778,515305
12.2249,77.3778,515305
12.2249,77.3778,515305
13.3899,77.3325,515311
13.8201,77.0198,515311
13.3899,77.3325,515311
12.9596,77.6453,515311
13.3899,77.3325,515311
13.3899,77.3325,515311
13.3899,77.3325,515311
13.3899,77.3325,515311
13.3899,77.3325,515311
13.3899,77.3325,515311
13.3899,77.3325,515311
14.0699,76.905,515321
14.2979,76.7087,515321
14.0699,76.905,515321
13.8419,77.1013,515321
14.0699,76.905,515321
14.0699,76.905,515321
14.0164,80.1281,515331
13.7925,78.9122,515331
13.7925,78.9122,515331
13.7925,78.9122,515331
13.5582,78.9992,515331
13.7925,78.9122,515331
13.803,77.6092,515331
13.7925,78.9122,515331
13.7925,78.9122,515331
13.7925,78.9122,515331
13.7925,78.9122,515331
13.7925,78.9122,515331
13.7925,78.9122,515331
13.4163,77.7741,515341
13.4163,77.7741,515341
13.4163,77.7741,515341
13.4163,77.7741,515341
13.4163,77.7741,515341
13.4163,77.7741,515341
13.4163,77.7741,515341
15.1184,77.6378,515401
13.4094,77.7301,515401
14.3069,77.6576,515401
10.8028,77.895,515401
13.4094,77.7301,515401
13.4094,77.7301,515401
13.4094,77.7301,515401
13.4094,77.7301,515401
13.4094,77.7301,515401
13.4094,77.7301,515401
13.4094,77.7301,515401
13.4094,77.7301,515401
13.4094,77.7301,515401
13.4094,77.7301,515401
13.4094,77.7301,515401
13.4094,77.7301,515401
13.8195,77.7657,515402
13.8195,77.7657,515402
13.8195,77.7657,515402
